Operator,Dataset,Num Rules,Fcoverage,Fsupport,Fconfidence,FWRAcc
0,abalone.csv,101,0.3583913673248563,0.3122656561869071,0.8736697414620543,0.1777652859914854
0,iris.csv,17,0.35057424666836434,0.32078553603259485,0.9178793569567691,0.1967642859972272
0,wdbc.csv,342,0.3502619435547756,0.31752349741179076,0.9090910597895252,0.1679303469374531
0,magic.csv,7,0.37447973216803815,0.3213478144912463,0.8579584731072055,0.1667096775570054
0,vehicle.csv,56,0.354104989108177,0.3116767045548163,0.8823700414067849,0.18191246301419822
1,abalone.csv,117,0.35397371504200564,0.3232241562667468,0.9171329851432778,0.19032041544496398
1,iris.csv,19,0.35353899901268315,0.32361600972127286,0.9185554948717503,0.1974348085702472
1,wdbc.csv,349,0.34925647205281535,0.32621616540642573,0.9375538985743239,0.18421900280162698
1,magic.csv,13,0.3729808423438341,0.3253780213373554,0.8724009942470532,0.1775794563749697
1,vehicle.csv,70,0.3559878012159485,0.32360085337878625,0.912133809018402,0.19261413980542438
2,abalone.csv,145,0.34665513801042264,0.3319787112179283,0.9601912959874312,0.20194261602002767
2,iris.csv,32,0.3474980158730159,0.3288789851360614,0.9486429302323532,0.20546149170973468
2,wdbc.csv,574,0.3555845001720316,0.327534108821472,0.9242319968969739,0.1876419289603762
2,magic.csv,41,0.3710505530574514,0.3305198568955482,0.8908047629821064,0.1903849845902397
2,vehicle.csv,149,0.3610831640559191,0.32710284849312354,0.9076775660362273,0.19483986310957713
3,abalone.csv,309,0.3426440843142841,0.3203092743660275,0.9369674897140798,0.19187023940429104
3,iris.csv,19,0.35442757818812337,0.32349693471897756,0.9156217894659426,0.19701954050947176
3,wdbc.csv,563,0.3528261307391391,0.3338441194990189,0.9479610241048647,0.19105895821021224
3,magic.csv,16,0.3644094733259754,0.3206937263184927,0.8817547133472321,0.17774808904402825
3,vehicle.csv,126,0.3473214101372941,0.32281180286510186,0.9323051264916831,0.19579958854369636
