Operator,Dataset,Num Rules,Coverage,Support,Confidence,ExecTimeSec,Asym_Conf_Norm,Asym_Supp_Norm
OP0,iris.csv,14,0.3553873428276607,0.3202993188585554,0.9035756162234715,0.04000320000341162,0.029413491704202516,0.0
OP0,wdbc.csv,31,0.36874899941106,0.3257195968781748,0.8834001864156416,0.06976569999824278,0.008273460164733095,0.0
OP0,vehicle.csv,65,0.3610077830461355,0.31715554228195775,0.8794567823410034,0.13305319999926724,0.023006155837467842,0.0
OP0,abalone.csv,95,0.3602144868750321,0.3129307530428234,0.8710171141122517,0.20399739999265876,0.008343387271896393,0.0
OP0,magic.csv,7,0.37447973234312876,0.32134781564985004,0.857958470072065,0.8751379999885103,0.007526702143109465,0.0
OP1,iris.csv,17,0.3565293252468109,0.32356370371930737,0.9104213328922496,0.035990300006233156,0.026756614958935956,0.0
OP1,wdbc.csv,32,0.372839187271893,0.3416105657815933,0.9166882429271936,0.12415400000463706,0.010500849543816816,0.0
OP1,vehicle.csv,87,0.35913663006376945,0.32665919298413154,0.9116410380122305,0.28184070000133943,0.02161347038386122,0.0
OP1,abalone.csv,96,0.3638265756890178,0.3275567243496577,0.9029005859047174,0.40210490000026766,0.009621948307069795,0.0
OP1,magic.csv,13,0.3729808422235342,0.3253780213686136,0.8724009853142959,2.046575499989558,0.010774861742070332,0.0
OP2,iris.csv,12,0.35445117950439453,0.31794172277053195,0.9000500937302908,0.04897040000651032,0.03347255488475368,1.222209639811812e-05
OP2,wdbc.csv,20,0.3717584922909737,0.32561121731996534,0.8755212306976319,0.23590409998723771,0.007104003319126988,5.2730573543699226e-05
OP2,vehicle.csv,38,0.3653520745666404,0.31815931279408305,0.8719038414327722,0.8081124000018463,0.02524503653672649,7.484926333411404e-05
OP2,abalone.csv,41,0.3755067848577732,0.31230263521031637,0.8316858120080901,1.426973800000269,0.005574161261712537,8.160941141119989e-05
OP2,magic.csv,5,0.3760764181613922,0.31800230145454406,0.8455759048461914,5.020612299995264,0.0017058101147944143,4.18299362847334e-05
OP3,iris.csv,24,0.3554569482803345,0.33726633215943974,0.9506684392690659,0.044899999993504025,0.03535667633451388,0.016099864734111746
OP3,wdbc.csv,56,0.37189895500029835,0.3413918438766684,0.9181199478251594,0.1077450000011595,0.009898134926628464,0.013522858852654742
OP3,vehicle.csv,184,0.36926032748559245,0.3364729536292346,0.9125817139511523,0.22732980000728276,0.016046660160383332,0.021360155819852126
OP3,abalone.csv,87,0.37312031100536214,0.3562601462177847,0.9549088272555121,0.35163960000500083,0.007212712476566841,0.009181169914027478
OP3,magic.csv,43,0.37155664382978926,0.3370095588440119,0.9071708349294441,1.2434787999955006,0.005521888572079841,0.019650414580975755
CRISP,iris.csv,20,0.33933333333333326,0.31666666666666665,0.9340812937062939,0.035446699999738485,0.01744959666108477,0.0
CRISP,wdbc.csv,39,0.3718624667658059,0.3360821954846559,0.9047806834631259,0.11385700000391807,0.016290251416421885,0.0
CRISP,vehicle.csv,94,0.36648055932800155,0.3299381318847141,0.9028363821149509,0.27374229999259114,0.03316959521698716,0.0
CRISP,abalone.csv,105,0.3608414904054578,0.32518310630433295,0.9033904550606783,0.49685879999015015,0.01338174588328581,0.0
CRISP,magic.csv,13,0.37216290544366254,0.324803850198172,0.8728746605193944,2.5600847999885445,0.016704390528858405,0.0
